Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
 firefox.exe	1.26	184,056 K	300,440 K	6716	Firefox	Mozilla Corporation
  firefox.exe	0.02	74,576 K	139,452 K	7120	Firefox	Mozilla Corporation
  firefox.exe		19,864 K	58,120 K	4712	Firefox	Mozilla Corporation
  firefox.exe	0.04	164,312 K	242,972 K	6920	Firefox	Mozilla Corporation
  firefox.exe	0.02	54,660 K	121,136 K	6844	Firefox	Mozilla Corporation
  firefox.exe	0.02	29,568 K	89,480 K	7832	Firefox	Mozilla Corporation
 kleopatra.exe		24,620 K	38,276 K	7340		
 procexp64.exe	10.95	18,240 K	52,380 K	1048	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
jusched.exe		1,436 K	7,792 K	5892	Java Update Scheduler	Oracle Corporation
gpg-agent.exe		1,456 K	7,156 K	3436	GnuPG’s private key daemon	The GnuPG Project

